First Name,Gender,Start Date,Last Login Time,Salary,Bonus %,Senior Management,Team
Beverly,Female,9/9/1998,8:26 PM,121918,15.835,false,Legal
Marilyn,Female,12/7/1980,3:16 AM,73524,5.207,true,Marketing
Cynthia,Female,11/16/1988,6:54 PM,145146,7.482,true,Product
Roger,Male,4/17/1980,11:32 AM,88010,13.886,true,Sales
Bruce,Male,11/28/2009,10:47 PM,114796,6.796,false,Finance
Kathy,Female,6/22/2005,4:51 AM,66820,9.0,true,Client Services
Clarence,Male,3/26/1996,5:57 AM,93581,6.083,true,Business Development
Chris,,1/24/1980,12:13 PM,113590,3.055,false,Sales
Nancy,Female,9/23/2000,8:05 AM,94976,13.83,true,Engineering
,,12/17/2011,8:29 AM,41126,14.009,,Sales
Todd,Male,2/18/1990,2:41 AM,49339,1.695,true,Human Resources
Alan,,3/3/2014,1:28 PM,40341,17.578,true,Finance
Sara,Female,8/15/2007,9:23 AM,83677,8.999,false,Engineering
Karen,Female,11/30/1999,7:46 AM,102488,17.653,true,Product
Carl,Male,5/3/2006,5:55 PM,130276,16.084,true,Finance
Henry,Male,6/26/1996,1:44 AM,64715,15.107,true,Human Resources
Theresa,Female,4/11/2010,7:18 AM,72670,1.481,true,Engineering
Irene,Female,5/7/1997,9:32 AM,66851,11.279,false,Engineering
Paula,,11/23/2005,2:01 PM,48866,4.271,false,Distribution
Denise,Female,11/6/2001,12:03 PM,106862,3.699,false,Business Development
,Female,6/12/2007,5:25 PM,58112,19.414,,Marketing
Matthew,Male,1/2/2013,10:33 PM,35203,18.04,false,Human Resources
Kathleen,,4/11/1990,6:46 PM,77834,18.771,false,Business Development
Steve,Male,11/11/2009,11:44 PM,61310,12.428,true,Distribution
Nancy,Female,12/15/2012,11:57 PM,125250,2.672,true,Business Development
Rachel,Female,8/16/1999,6:53 AM,51178,9.735,true,Finance
Jose,Male,10/30/2004,1:39 PM,84834,14.33,true,Finance
Irene,,7/14/2015,4:31 PM,100863,4.382,true,Finance
Todd,,6/10/2003,2:26 PM,84692,6.617,false,Client Services
Johnny,Male,11/6/2009,4:23 PM,118172,16.194,true,Sales
Bobby,Male,5/7/2007,10:01 AM,54043,3.833,false,Product
Frances,Female,4/4/1999,4:19 PM,90582,4.709,true,Sales
Thomas,Male,6/4/1995,2:24 PM,62096,17.029,false,Marketing
Bonnie,Female,7/2/1991,1:27 AM,104897,5.118,true,Human Resources
Margaret,Female,9/10/1988,12:42 PM,131604,7.353,true,Distribution
Charles,Male,9/14/2004,8:13 PM,107391,1.26,true,Marketing
Robin,Female,6/4/1983,3:15 PM,114797,5.965,true,Sales
Bonnie,Female,11/13/1988,3:30 PM,115814,4.99,false,Product
Gerald,,3/17/1995,12:50 AM,137126,15.602,true,Sales
Christopher,Male,3/30/2008,10:52 AM,47369,14.822,false,Legal
Steven,Male,3/30/1980,9:20 PM,35095,8.379,true,Client Services
Shawn,Male,9/23/2005,2:55 AM,148115,6.539,true,Finance
Doris,Female,8/20/2004,5:51 AM,83072,7.511,false,Finance
Jeremy,Male,2/1/2008,8:50 AM,100238,3.887,true,Client Services
Annie,,9/29/2007,12:11 AM,103495,17.29,true,Business Development
Annie,Female,1/30/1993,2:05 AM,144887,8.276,true,Sales
Donna,Female,11/27/1991,1:59 PM,64088,6.155,true,Legal
Janice,Female,3/12/2016,12:40 AM,51082,11.955,false,Legal
Janice,,8/21/1997,5:12 AM,91719,11.583,true,Legal
James,,1/26/2005,11:00 PM,128771,8.309,false,
Linda,Female,5/25/2000,5:45 PM,119009,12.506,true,Business Development
Virginia,,5/7/1994,5:58 PM,111858,1.601,true,Legal
Harry,Male,8/26/1981,3:16 PM,130620,7.03,false,Legal
Heather,Female,7/11/1998,2:17 PM,43026,14.166,false,Client Services
Cynthia,Female,3/21/1994,8:34 AM,142321,1.737,false,Finance
Laura,,7/19/2014,9:23 PM,140371,10.62,true,Marketing
Tina,Female,6/16/2016,7:47 PM,100705,16.961,true,Marketing
